種目名,部位,動画LINK,動画開始位置(sec),必須/選択,,
デッドリフト,背筋,"https://www.google.com/search?q=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&sca_esv=e37fdd41040993d7&rlz=1C1ONGR_jaJP1184JP1184&udm=7&biw=1536&bih=695&sxsrf=AE3TifPOtvAcHPJxx2zWqkBNX98nWmoLSA%3A1766560867601&ei=Y5RLaYi8JOGzvr0PspSJiAw&ved=0ahUKEwjI-fKH2NWRAxXhma8BHTJKAsEQ4dUDCBE&uact=5&oq=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&gs_lp=EhZnd3Mtd2l6LW1vZGVsZXNzLXZpZGVvIi3jgrnjgq_jgqTjg7zjgrrjg5Djg7Pjg4njgIDjg4jjg6zjg7zjg4vjg7PjgrAyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESIsVUOgFWLQScAF4AJABAJgBsgGgAdsJqgEDOS4zuAEDyAEA-AEBmAIKoAL6BsICBRAAGIAEwgIFEAAY7wXCAgQQABgewgIFECEYoAHCAggQABiiBBiJBcICBhAhGAoYKpgDAIgGAZIHAzcuM6AH3xiyBwM2LjO4B_cGwgcDNS41yAcLgAgA&sclient=gws-wiz-modeless-video#fpstate=ive&vld=cid:e2b4f4ca,vid:grLqdIqGyTw,st:0",125 ,必須,,背筋必須
シーテッドローイング,背筋,"https://www.google.com/search?q=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&sca_esv=e37fdd41040993d7&rlz=1C1ONGR_jaJP1184JP1184&udm=7&biw=1536&bih=695&sxsrf=AE3TifPOtvAcHPJxx2zWqkBNX98nWmoLSA%3A1766560867601&ei=Y5RLaYi8JOGzvr0PspSJiAw&ved=0ahUKEwjI-fKH2NWRAxXhma8BHTJKAsEQ4dUDCBE&uact=5&oq=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&gs_lp=EhZnd3Mtd2l6LW1vZGVsZXNzLXZpZGVvIi3jgrnjgq_jgqTjg7zjgrrjg5Djg7Pjg4njgIDjg4jjg6zjg7zjg4vjg7PjgrAyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESIsVUOgFWLQScAF4AJABAJgBsgGgAdsJqgEDOS4zuAEDyAEA-AEBmAIKoAL6BsICBRAAGIAEwgIFEAAY7wXCAgQQABgewgIFECEYoAHCAggQABiiBBiJBcICBhAhGAoYKpgDAIgGAZIHAzcuM6AH3xiyBwM2LjO4B_cGwgcDNS41yAcLgAgA&sclient=gws-wiz-modeless-video#fpstate=ive&vld=cid:e2b4f4ca,vid:grLqdIqGyTw,st:0",332 ,必須,,
リバースシーテッドローイング,背筋,https://youtu.be/KV14VKiSwUs,35 ,選択,,
リバースフライズ,背筋,https://youtu.be/KV14VKiSwUs,245 ,選択,,
スクイーズバンド,背中＋胸,"https://www.google.com/search?q=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&sca_esv=e37fdd41040993d7&rlz=1C1ONGR_jaJP1184JP1184&udm=7&biw=1536&bih=695&sxsrf=AE3TifPOtvAcHPJxx2zWqkBNX98nWmoLSA%3A1766560867601&ei=Y5RLaYi8JOGzvr0PspSJiAw&ved=0ahUKEwjI-fKH2NWRAxXhma8BHTJKAsEQ4dUDCBE&uact=5&oq=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&gs_lp=EhZnd3Mtd2l6LW1vZGVsZXNzLXZpZGVvIi3jgrnjgq_jgqTjg7zjgrrjg5Djg7Pjg4njgIDjg4jjg6zjg7zjg4vjg7PjgrAyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESIsVUOgFWLQScAF4AJABAJgBsgGgAdsJqgEDOS4zuAEDyAEA-AEBmAIKoAL6BsICBRAAGIAEwgIFEAAY7wXCAgQQABgewgIFECEYoAHCAggQABiiBBiJBcICBhAhGAoYKpgDAIgGAZIHAzcuM6AH3xiyBwM2LjO4B_cGwgcDNS41yAcLgAgA&sclient=gws-wiz-modeless-video#fpstate=ive&vld=cid:e2b4f4ca,vid:grLqdIqGyTw,st:0",99 ,必須,,
プッシュアップ,胸,https://www.youtube.com/watch?v=TtDplbghUGY&embeds_referring_euri=https%3A%2F%2Fufit.co.jp%2F,0 ,必須,,胸必須
クロスオーバー,胸,https://www.youtube.com/watch?v=C8f4rO0wUL8&embeds_referring_euri=https%3A%2F%2Fufit.co.jp%2F,0 ,必須,,
チェストプレス,胸,https://www.youtube.com/watch?v=9sz2ZwODKRU&embeds_referring_euri=https%3A%2F%2Fufit.co.jp%2F,0 ,必須,,
ニートゥチェスト,腹筋＋体幹,https://www.youtube.com/watch?v=HO8EbfxY61w&embeds_referring_euri=https%3A%2F%2Fufit.co.jp%2F,0 ,必須,,腹必須
サイドベンド,横腹,"https://www.google.com/search?q=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&sca_esv=e37fdd41040993d7&rlz=1C1ONGR_jaJP1184JP1184&udm=7&biw=1536&bih=695&sxsrf=AE3TifPOtvAcHPJxx2zWqkBNX98nWmoLSA%3A1766560867601&ei=Y5RLaYi8JOGzvr0PspSJiAw&ved=0ahUKEwjI-fKH2NWRAxXhma8BHTJKAsEQ4dUDCBE&uact=5&oq=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&gs_lp=EhZnd3Mtd2l6LW1vZGVsZXNzLXZpZGVvIi3jgrnjgq_jgqTjg7zjgrrjg5Djg7Pjg4njgIDjg4jjg6zjg7zjg4vjg7PjgrAyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESIsVUOgFWLQScAF4AJABAJgBsgGgAdsJqgEDOS4zuAEDyAEA-AEBmAIKoAL6BsICBRAAGIAEwgIFEAAY7wXCAgQQABgewgIFECEYoAHCAggQABiiBBiJBcICBhAhGAoYKpgDAIgGAZIHAzcuM6AH3xiyBwM2LjO4B_cGwgcDNS41yAcLgAgA&sclient=gws-wiz-modeless-video#fpstate=ive&vld=cid:e2b4f4ca,vid:grLqdIqGyTw,st:0",33 ,必須,,
ウッドチョッパー(L/R),体幹＋横腹,"https://www.google.com/search?q=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&sca_esv=e37fdd41040993d7&rlz=1C1ONGR_jaJP1184JP1184&udm=7&biw=1536&bih=695&sxsrf=AE3TifPOtvAcHPJxx2zWqkBNX98nWmoLSA%3A1766560867601&ei=Y5RLaYi8JOGzvr0PspSJiAw&ved=0ahUKEwjI-fKH2NWRAxXhma8BHTJKAsEQ4dUDCBE&uact=5&oq=%E3%82%B9%E3%82%AF%E3%82%A4%E3%83%BC%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%80%80%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&gs_lp=EhZnd3Mtd2l6LW1vZGVsZXNzLXZpZGVvIi3jgrnjgq_jgqTjg7zjgrrjg5Djg7Pjg4njgIDjg4jjg6zjg7zjg4vjg7PjgrAyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESIsVUOgFWLQScAF4AJABAJgBsgGgAdsJqgEDOS4zuAEDyAEA-AEBmAIKoAL6BsICBRAAGIAEwgIFEAAY7wXCAgQQABgewgIFECEYoAHCAggQABiiBBiJBcICBhAhGAoYKpgDAIgGAZIHAzcuM6AH3xiyBwM2LjO4B_cGwgcDNS41yAcLgAgA&sclient=gws-wiz-modeless-video#fpstate=ive&vld=cid:e2b4f4ca,vid:grLqdIqGyTw,st:0",65 ,必須,,
